id,menu_id,page_number,image_id,full_height,full_width,uuid
180,12479,1,466950,3523,2319,510d47db-4957-a3d9-e040-e00a18064a99
181,12480,2,4000009208,2970,1965,510d47db-4958-a3d9-e040-e00a18064a99
182,12480,1,466951,2961,1930,510d47db-4959-a3d9-e040-e00a18064a99
183,12481,2,4000009209,2985,1966,510d47db-495a-a3d9-e040-e00a18064a99
184,12481,1,466952,2977,1952,510d47db-495b-a3d9-e040-e00a18064a99
185,12482,2,4000009210,2628,1807,510d47db-495c-a3d9-e040-e00a18064a99
186,12482,1,466953,2620,1807,510d47db-495d-a3d9-e040-e00a18064a99
187,12483,2,4000009211,3928,2480,510d47db-495e-a3d9-e040-e00a18064a99
188,12483,1,466954,3920,2497,510d47db-495f-a3d9-e040-e00a18064a99
189,12484,2,4000009212,2663,1750,510d47db-4960-a3d9-e040-e00a18064a99
190,12484,3,4000009213,2693,1870,510d47db-4961-a3d9-e040-e00a18064a99
191,12484,4,4000009214,2669,1852,510d47db-4962-a3d9-e040-e00a18064a99
192,12484,5,4000009215,2643,1797,510d47db-4963-a3d9-e040-e00a18064a99
193,12484,6,4000009216,2660,2188,510d47db-4964-a3d9-e040-e00a18064a99
194,12484,1,466955,2672,1950,510d47db-4965-a3d9-e040-e00a18064a99
195,12485,2,4000009218,2949,1971,510d47db-4968-a3d9-e040-e00a18064a99
196,12485,1,466957,2949,1972,510d47db-4969-a3d9-e040-e00a18064a99
197,12486,2,4000009223,3554,1426,510d47db-4970-a3d9-e040-e00a18064a99
198,12486,1,466960,3525,1402,510d47db-4971-a3d9-e040-e00a18064a99
199,12487,2,4000009228,3556,2389,510d47db-4978-a3d9-e040-e00a18064a99
200,12487,1,466963,3585,2367,510d47db-4979-a3d9-e040-e00a18064a99
201,12488,2,4000009229,2965,1992,510d47db-497a-a3d9-e040-e00a18064a99
202,12488,3,4000009230,2956,1996,510d47db-497b-a3d9-e040-e00a18064a99
203,12488,4,4000009231,3383,2027,510d47db-497c-a3d9-e040-e00a18064a99
204,12488,1,466964,3407,2076,510d47db-497d-a3d9-e040-e00a18064a99
205,12489,2,4000009232,2302,1619,510d47db-497e-a3d9-e040-e00a18064a99
206,12489,3,4000009233,2256,1555,510d47db-497f-a3d9-e040-e00a18064a99
207,12489,4,4000009234,1697,2279,510d47db-4980-a3d9-e040-e00a18064a99
208,12489,1,466965,2312,1727,510d47db-4981-a3d9-e040-e00a18064a99
209,12490,2,4000009240,3393,1881,510d47db-498a-a3d9-e040-e00a18064a99
210,12490,1,466969,3419,1882,510d47db-498b-a3d9-e040-e00a18064a99
211,12491,2,4000009250,2712,1856,510d47db-499a-a3d9-e040-e00a18064a99
212,12491,1,466975,2673,1818,510d47db-499b-a3d9-e040-e00a18064a99
213,12492,2,4000009251,2652,1951,510d47db-499c-a3d9-e040-e00a18064a99
214,12492,3,4000009252,2639,1953,510d47db-499d-a3d9-e040-e00a18064a99
215,12492,4,4000009253,2653,1974,510d47db-499e-a3d9-e040-e00a18064a99
216,12492,5,4000009254,2635,1990,510d47db-499f-a3d9-e040-e00a18064a99
217,12492,6,4000009255,2655,1965,510d47db-49a0-a3d9-e040-e00a18064a99
218,12492,7,4000009256,2657,1969,510d47db-49a1-a3d9-e040-e00a18064a99
